============================================================
  Generated by:           Genus(TM) Synthesis Solution 25.10-p002_1
  Generated on:           Aug 20 2026  05:39:56 pm
  Module:                 top
  Operating conditions:   slow_1_62V_85C (worst_case_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================


Path 1: UNCONSTRAINED Setup Check with Pin uart/recv_divcnt_reg[31]/C->D
     Startpoint: (R) uart/recv_divcnt_reg[0]/C
       Endpoint: (F) uart/recv_divcnt_reg[31]/D

                             
          Setup:-    688     
      Data Path:-  16948     

#---------------------------------------------------------------------------------------------------------
#          Timing Point            Flags   Arc   Edge   Cell     Fanout Load Trans Delay Arrival Instance 
#                                                                       (fF)  (ps)  (ps)   (ps)  Location 
#---------------------------------------------------------------------------------------------------------
  uart/recv_divcnt_reg[0]/C        -       -     R     (arrival)    105    -     0     0       0    (-,-) 
  uart/recv_divcnt_reg[0]/Q        -       C->Q  R     DFRQHDX0       2 13.4   310   788     788    (-,-) 
  uart/inc_add_80_31_g744__2398/CO -       A->CO R     HAHDX0         1  8.9   270   524    1312    (-,-) 
  uart/inc_add_80_31_g743__5477/CO -       A->CO R     HAHDX0         1  8.9   269   513    1825    (-,-) 
  uart/inc_add_80_31_g742__6417/CO -       A->CO R     HAHDX0         1  8.9   270   513    2338    (-,-) 
  uart/inc_add_80_31_g741__7410/CO -       A->CO R     HAHDX0         1  8.9   271   513    2851    (-,-) 
  uart/inc_add_80_31_g740__1666/CO -       A->CO R     HAHDX0         1  8.9   271   513    3365    (-,-) 
  uart/inc_add_80_31_g739__2346/CO -       A->CO R     HAHDX0         1  8.9   270   513    3878    (-,-) 
  uart/inc_add_80_31_g738__2883/CO -       A->CO R     HAHDX0         1  8.9   269   513    4391    (-,-) 
  uart/inc_add_80_31_g737__9945/CO -       A->CO R     HAHDX0         1  8.9   269   513    4904    (-,-) 
  uart/inc_add_80_31_g736__9315/CO -       A->CO R     HAHDX0         1  8.9   269   513    5417    (-,-) 
  uart/inc_add_80_31_g735__6161/CO -       A->CO R     HAHDX0         1  8.9   269   513    5930    (-,-) 
  uart/inc_add_80_31_g734__4733/CO -       A->CO R     HAHDX0         1  8.9   270   513    6443    (-,-) 
  uart/inc_add_80_31_g733__7482/CO -       A->CO R     HAHDX0         1  8.9   269   513    6956    (-,-) 
  uart/inc_add_80_31_g732__5115/CO -       A->CO R     HAHDX0         1  8.9   269   513    7469    (-,-) 
  uart/inc_add_80_31_g731__1881/CO -       A->CO R     HAHDX0         1  8.9   269   513    7982    (-,-) 
  uart/inc_add_80_31_g730__6131/CO -       A->CO R     HAHDX0         1  8.9   269   513    8495    (-,-) 
  uart/inc_add_80_31_g729__7098/CO -       A->CO R     HAHDX0         1  8.9   269   513    9008    (-,-) 
  uart/inc_add_80_31_g728__8246/CO -       A->CO R     HAHDX0         1  8.9   269   513    9521    (-,-) 
  uart/inc_add_80_31_g727__5122/CO -       A->CO R     HAHDX0         1  8.9   270   513   10034    (-,-) 
  uart/inc_add_80_31_g726__1705/CO -       A->CO R     HAHDX0         1  8.9   269   513   10546    (-,-) 
  uart/inc_add_80_31_g725__2802/CO -       A->CO R     HAHDX0         1  8.9   270   513   11059    (-,-) 
  uart/inc_add_80_31_g724__1617/CO -       A->CO R     HAHDX0         1  8.9   269   513   11572    (-,-) 
  uart/inc_add_80_31_g723__3680/CO -       A->CO R     HAHDX0         1  8.9   270   513   12085    (-,-) 
  uart/inc_add_80_31_g722__6783/CO -       A->CO R     HAHDX0         1  8.9   269   513   12598    (-,-) 
  uart/inc_add_80_31_g721__5526/CO -       A->CO R     HAHDX0         1  8.9   269   513   13111    (-,-) 
  uart/inc_add_80_31_g720__8428/CO -       A->CO R     HAHDX0         1  8.9   270   513   13624    (-,-) 
  uart/inc_add_80_31_g719__4319/CO -       A->CO R     HAHDX0         1  8.9   269   513   14137    (-,-) 
  uart/inc_add_80_31_g718__6260/CO -       A->CO R     HAHDX0         1  8.9   270   513   14650    (-,-) 
  uart/inc_add_80_31_g717__5107/CO -       A->CO R     HAHDX0         1  8.9   269   513   15163    (-,-) 
  uart/inc_add_80_31_g716__2398/CO -       A->CO R     HAHDX0         1  8.9   269   513   15676    (-,-) 
  uart/inc_add_80_31_g715__5477/CO -       A->CO R     HAHDX0         1  8.7   265   509   16185    (-,-) 
  uart/inc_add_80_31_g714__6417/Q  -       A->Q  F     EO2HDX0        1  4.6   188   472   16657    (-,-) 
  uart/g5594__8246/Q               -       AN->Q F     NO2I1HDX0      1  4.4   423   291   16948    (-,-) 
  uart/recv_divcnt_reg[31]/D       -       -     F     DFRQHDX0       1    -     -     0   16948    (-,-) 
#---------------------------------------------------------------------------------------------------------

